"1983","Italy","p"
"1984","Italy","p"
"1985","Italy","p"
"1986","Italy","p"
"1987","Italy","p"
"1988","Italy","p"
"1989","Italy","p"
"1990","Italy","p"
"1991","Italy","p"
"2001","Lithuania","s"
"2002","Lithuania","s"
"2003","Lithuania","s"
"2004","Lithuania","s"
"2005","Lithuania","s"
"2006","Lithuania","s"
"2007","Lithuania","s"
"2008","Lithuania","s"
"2009","Lithuania","s"
"2010","Lithuania","s"
"1998","Portugal","e"
"1999","Portugal","e"
"2000","Portugal","e"
"2001","Portugal","e"
"2002","Portugal","e"
"2003","Portugal","e"
"2004","Portugal","e"
"2005","Portugal","e"
"2006","Portugal","e"
"2007","Portugal","e"
"2008","Portugal","e"
"2009","Portugal","e"
"2010","Portugal","e"
"2001","Sweden","b"
"1995","Norway","b"
"1997","Norway","b"
"2006","Norway","b"
"2007","Turkey","b"
